android.accounts.AccountManager.getPassword,AUTHENTICATE_ACCOUNTS
android.accounts.AccountManager.getUserData,AUTHENTICATE_ACCOUNTS
android.accounts.AccountManager.getAccounts,GET_ACCOUNTS
android.accounts.AccountManager.getAccountsByType,GET_ACCOUNTS
android.accounts.AccountManager.hasFeatures,GET_ACCOUNTS
android.accounts.AccountManager.getAccountsByTypeAndFeatures,GET_ACCOUNTS
android.accounts.AccountManager.addAccountExplicitly,AUTHENTICATE_ACCOUNTS
android.accounts.AccountManager.removeAccount,MANAGE_ACCOUNTS
android.accounts.AccountManager.invalidateAuthToken,USE_CREDENTIALS||MANAGE_ACCOUNTS
android.accounts.AccountManager.peekAuthToken,AUTHENTICATE_ACCOUNTS
android.accounts.AccountManager.setPassword,AUTHENTICATE_ACCOUNTS
android.accounts.AccountManager.clearPassword,MANAGE_ACCOUNTS
android.accounts.AccountManager.setUserData,AUTHENTICATE_ACCOUNTS
android.accounts.AccountManager.setAuthToken,AUTHENTICATE_ACCOUNTS
android.accounts.AccountManager.blockingGetAuthToken,USE_CREDENTIALS
android.accounts.AccountManager.getAuthToken,USE_CREDENTIALS
android.accounts.AccountManager.addAccount,MANAGE_ACCOUNTS
android.accounts.AccountManager.confirmCredentials,MANAGE_ACCOUNTS
android.accounts.AccountManager.updateCredentials,MANAGE_ACCOUNTS
android.accounts.AccountManager.editProperties,MANAGE_ACCOUNTS
android.accounts.AccountManager.getAuthTokenByFeatures,MANAGE_ACCOUNTS
android.app.ActivityManager.getRecentTasks,GET_TASKS
android.app.ActivityManager.getRunningTasks,GET_TASKS
android.app.ActivityManager.getRunningTasks,GET_TASKS
android.app.ActivityManager.killBackgroundProcesses,KILL_BACKGROUND_PROCESSES
android.app.AlarmManager.setTime,SET_TIME
android.app.AlarmManager.setTimeZone,SET_TIME_ZONE
android.app.DownloadManager.Request.setDestinationUri,WRITE_EXTERNAL_STORAGE
android.bluetooth.BluetoothAdapter.isEnabled,BLUETOOTH
android.bluetooth.BluetoothAdapter.getState,BLUETOOTH
android.bluetooth.BluetoothAdapter.enable,BLUETOOTH_ADMIN
android.bluetooth.BluetoothAdapter.disable,BLUETOOTH_ADMIN
android.bluetooth.BluetoothAdapter.getAddress,BLUETOOTH
android.bluetooth.BluetoothAdapter.getName,BLUETOOTH
android.bluetooth.BluetoothAdapter.setName,BLUETOOTH_ADMIN
android.bluetooth.BluetoothAdapter.getScanMode,BLUETOOTH
android.bluetooth.BluetoothAdapter.setScanMode,WRITE_SECURE_SETTINGS
android.bluetooth.BluetoothAdapter.startDiscovery,BLUETOOTH_ADMIN
android.bluetooth.BluetoothAdapter.cancelDiscovery,BLUETOOTH_ADMIN
android.bluetooth.BluetoothAdapter.isDiscovering,BLUETOOTH
android.bluetooth.BluetoothAdapter.getBondedDevices,BLUETOOTH
android.bluetooth.BluetoothAdapter.listenUsingRfcommOn,BLUETOOTH_ADMIN
android.bluetooth.BluetoothAdapter.listenUsingRfcommWithServiceRecord,BLUETOOTH
android.bluetooth.BluetoothAdapter.listenUsingInsecureRfcommWithServiceRecord,BLUETOOTH
android.bluetooth.BluetoothAdapter.readOutOfBandData,BLUETOOTH
android.bluetooth.BluetoothDevice.getName,BLUETOOTH
android.bluetooth.BluetoothDevice.createBond,BLUETOOTH_ADMIN
android.bluetooth.BluetoothDevice.createBondOutOfBand,BLUETOOTH_ADMIN
android.bluetooth.BluetoothDevice.setDeviceOutOfBandData,BLUETOOTH_ADMIN
android.bluetooth.BluetoothDevice.cancelBondProcess,BLUETOOTH_ADMIN
android.bluetooth.BluetoothDevice.removeBond,BLUETOOTH_ADMIN
android.bluetooth.BluetoothDevice.getBondState,BLUETOOTH
android.bluetooth.BluetoothDevice.getBluetoothClass,BLUETOOTH
android.bluetooth.BluetoothDevice.getTrustState,BLUETOOTH
android.bluetooth.BluetoothDevice.setTrust,BLUETOOTH_ADMIN
android.bluetooth.BluetoothDevice.createRfcommSocket,BLUETOOTH
android.bluetooth.BluetoothDevice.createRfcommSocketToServiceRecord,BLUETOOTH
android.bluetooth.BluetoothDevice.createInsecureRfcommSocketToServiceRecord,BLUETOOTH
android.bluetooth.BluetoothDevice.createInsecureRfcommSocket,BLUETOOTH_ADMIN
android.bluetooth.BluetoothDevice.createScoSocket,BLUETOOTH_ADMIN
android.content.Context.sendStickyBroadcast,BROADCAST_STICKY
android.content.Context.removeStickyBroadcast,BROADCAST_STICKY
android.content.pm.PackageManager.installPackage,INSTALL_PACKAGES
android.content.pm.PackageManager.deletePackage,DELETE_PACKAGES
android.content.pm.PackageManager.deleteApplicationCacheFiles,DELETE_CACHE_FILES
android.content.pm.PackageManager.getPackageSizeInfo,GET_PACKAGE_SIZE
android.net.Proxy.getPreferredHttpHost,ACCESS_NETWORK_STATE
